CODE,CLASS,NAME,THEME,COLOR,TECHNIQUE,FABRIC,DYE,SHAPE,HISTORY,CAPTION_ID,CAPTION_EN,Image_Path
Data 4 Batik Krajan (Bunga Mega Mendung),Malang,Bunga Mega Mendung,FLORA (Bunga/Flower/花) // FAUNA (Sepasang burung Merak/a pair of Peacocks/孔雀) // CULTURE (Motif Awan Mega Mendung/Awan Mega Mendung pattern/ メガ・ムンドゥンの雲文様),"Coklat/Brown/茶色, Putih/White/白い",Tulis,Katun Primisima,Sintetis,Non Geometris,"Motif batik ini dibuat berdasarkan permintaan dari Perum BULOG (badan urusan logistik, badan usaha milik negara yang mengurusi masalah pangan)","Bunga Mega Mendung merupakan mahakarya kelas Batik Malang dengan tata letak non geometris. Warna yang digunakan adalah coklat dan putih, membentuk motif utama bunga, sepasang burung merak dan motif awan mega mendung. Dibuat dengan teknik tulis menggunakan pewarna sintetis pada kain Katun Primisima. Secara filosofis, Motif batik ini dibuat berdasarkan permintaan dari Perum BULOG (badan urusan logistik, badan usaha milik negara yang mengurusi masalah pangan)","The batik fabric features the Malang motif, characterized by brown, white motifs. The dominant motifs include flower, a pair of peacocks and awan mega mendung pattern. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 4 Batik Krajan (Bunga Mega Mendung).jpg
Data 5 Batik Krajan (Bunga Sepatu),Malang,Bunga Sepatu,FLORA (Bunga Sepatu/ Hibiscus/ ハイビスカス) ,"Biru Navy/Navy Blue/ネイビーブルー, Putih/White/白い",Tulis,Katun Primisima,Natural Strobilanthes,Non Geometris,"Motif ini terinspirasi dari studi banding di Yogyakarta tentang pewarna alam indigo blue. Warna biru alami menciptakan kesan elegan dan klasik, dipadukan dengan pola organik yang mencerminkan harmoni alam","Bunga Sepatu merupakan mahakarya kelas Batik Malang dengan tata letak non geometris. Warna yang digunakan adalah biru navy dan putih, membentuk motif utama bunga sepatu. Dibuat dengan teknik tulis menggunakan pewarna natural strobilanthes pada kain Katun Primisima. Secara filosofis, Motif ini terinspirasi dari studi banding di Yogyakarta tentang pewarna alam indigo blue. Warna biru alami menciptakan kesan elegan dan klasik, dipadukan dengan pola organik yang mencerminkan harmoni alam","The batik fabric features the Malang motif, characterized by navy blue, white motifs. The dominant motifs include hibiscus. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 5 Batik Krajan (Bunga Sepatu).jpg
Data 6 batik Krajan (Bunga Ploso),Malang,Bunga Ploso,FLORA (Bunga Ploso/Palasa Flower/ モノスペルマの花),"Coklat/Brown/茶色, Oranye/Orange/オレンジ",Tulis,Tenun Gedog,Sintetis,Non Geometris,Motif bunga Ploso (Palasa Flower) yang menjadi Ikon Kecamatan Karangploso karena tanaman ini banyak ditemukan di sini.,"Bunga Ploso merupakan mahakarya kelas Batik Malang dengan tata letak non geometris. Warna yang digunakan adalah coklat dan oranye, membentuk motif utama bunga ploso. Dibuat dengan teknik tulis menggunakan pewarna sintetis pada kain Tenun Gedog. Secara filosofis, Motif bunga Ploso (Palasa Flower) yang menjadi Ikon Kecamatan Karangploso karena tanaman ini banyak ditemukan di sini.","The batik fabric features the Malang motif, characterized by brown, orange motifs. The dominant motifs include palasa flower. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 6 batik Krajan (Bunga Ploso).jpg
Data 7 Batik Krajan (Bunga Sepatu),Malang,Bunga Sepatu,"FLORA (Bunga Sepatu/Hibiscus/ハイビスカス, Daun Bunga Sepatu/Hibiscus Leaf/ハイビスカスの葉, Ranting Bunga Sepatu/Hibiscus Twig/ハイビスカスの枝)","Hitam/Black/黒い, Coklat/Brown/茶色",Tulis,Katun Primisima,Sintetis,Non Geometris,"Motif ini lahir dari kreativitas di tengah pandemi COVID-19, terinspirasi dari bunga bermekaran di halaman, sebagai simbol harapan dan ketahanan.","Bunga Sepatu merupakan mahakarya kelas Batik Malang dengan tata letak non geometris. Warna yang digunakan adalah hitam dan coklat, membentuk motif utama bunga sepatu. Dibuat dengan teknik tulis menggunakan pewarna sintetis pada kain Katun Primisima. Secara filosofis, Motif ini lahir dari kreativitas di tengah pandemi COVID-19, terinspirasi dari bunga bermekaran di halaman, sebagai simbol harapan dan ketahanan.","The batik fabric features the Malang motif, characterized by black, brown motifs. The dominant motifs include hibiscus. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 7 Batik Krajan (Bunga Sepatu).jpg
Data 8 Batik Krajan (Sekar Jagad),Malang,Sekar Jagad,"FLORA (Biji kopi/Coffee Beans, Bunga Mawar/Rose/薔薇, ukel-ukel) // FAUNA (Burung pipit/sparrows/雀)","Coklat/Brown/茶色, Merah Bata/Dark Red/濃い赤",Cap,Katun Prima,Sintetis,Geometris,"Motif ini tercipta di masa pandemi sebagai ekspresi kreativitas, menggabungkan keindahan sekar jagad, bunga, dan kopmenghadirkan batik penuh makna yang merefleksikan semangat bertahan dan berkarya.","Sekar Jagad merupakan mahakarya kelas Batik Malang dengan tata letak geometris. Warna yang digunakan adalah coklat dan merah bata, membentuk motif utama biji kopi dan burung pipit. Dibuat dengan teknik cap menggunakan pewarna sintetis pada kain Katun Prima. Secara filosofis, Motif ini tercipta di masa pandemi sebagai ekspresi kreativitas, menggabungkan keindahan sekar jagad, bunga, dan kopmenghadirkan batik penuh makna yang merefleksikan semangat bertahan dan berkarya.","The batik fabric features the Malang motif, characterized by brown, dark red motifs. The dominant motifs include coffee beans, bunga mawar and sparrows. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 8 Batik Krajan (Sekar Jagad).jpg
Data 9 Batik Krajan (Bangau Terbang),Malang,Bangau Terbang,FAUNA (Burung Bangau/Stork/鸛) // NATURE (Awan/Cloud/曇り),"Ungu/Purple/紫, Biru/Blue/青い",Tulis,Katun primisima,Sintetis,Non Geometris,"Motif batik ini terinspirasi dari burung bangau yang terlihat di sawah Desa Karangploso. Dengan sentuhan artistik, desain ini mencerminkan harmoni antara kehidupan tradisional dan keindahan alam.","Bangau Terbang merupakan mahakarya kelas Batik Malang dengan tata letak non geometris. Warna yang digunakan adalah ungu dan biru, membentuk motif utama burung bangau dan awan. Dibuat dengan teknik tulis menggunakan pewarna sintetis pada kain Katun primisima. Secara filosofis, Motif batik ini terinspirasi dari burung bangau yang terlihat di sawah Desa Karangploso. Dengan sentuhan artistik, desain ini mencerminkan harmoni antara kehidupan tradisional dan keindahan alam.","The batik fabric features the Malang motif, characterized by purple, blue motifs. The dominant motifs include stork and cloud. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 9 Batik Krajan (Bangau Terbang).jpg
Data 10 Batik Krajan (Parang Lombok),Malang,Parang lombok,FLORA (Tanaman Cabe/Chili Plant/蕃椒) // CULTURE (Motif Klasik/Classic Pattern/ 古典文様),"Merah/red/赤い, Hitam/Black/黒い",Tulis,Katun primisima,Sintetis,Non Geometris,Inspirasi motif bersumber dari Icon Desa Mbocek Kecamatan Karangploso dengan isian motif tanaman Lombok,"Parang lombok merupakan mahakarya kelas Batik Malang dengan tata letak non geometris. Warna yang digunakan adalah merah dan hitam, membentuk motif utama tanaman cabe dan motif klasik. Dibuat dengan teknik tulis menggunakan pewarna sintetis pada kain Katun primisima. Secara filosofis, Inspirasi motif bersumber dari Icon Desa Mbocek Kecamatan Karangploso dengan isian motif tanaman Lombok","The batik fabric features the Malang motif, characterized by red, black motifs. The dominant motifs include chili plant and classic pattern. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 10 Batik Krajan (Parang Lombok).jpg
Data 11 Batik Krajan (Ukel-ukel),Malang,Ukel-ukel,FLORA (Tanaman sekulen tasbih/String of Pearls/ グリーンネックレス),Biru Navy/Navy Blue/ネイビーブルー,Cap,Katun primisima,Sintetis,Geometris,"Motif Ukel adalah motif modern yang terinspirasi dari tumbuhan menjalar, melambangkan pertumbuhan dan keindahan alami. Pola ukel-ukel juga sering diasosiasikan dengan rambut melingkar, menciptakan kesan dinamis, elegan, dan harmonis","Ukel-ukel merupakan mahakarya kelas Batik Malang dengan tata letak geometris. Warna yang digunakan adalah biru navy, membentuk motif utama tanaman sekulen tasbih. Dibuat dengan teknik cap menggunakan pewarna sintetis pada kain Katun primisima. Secara filosofis, Motif Ukel adalah motif modern yang terinspirasi dari tumbuhan menjalar, melambangkan pertumbuhan dan keindahan alami. Pola ukel-ukel juga sering diasosiasikan dengan rambut melingkar, menciptakan kesan dinamis, elegan, dan harmonis","The batik fabric features the Malang motif, characterized by navy blue motifs. The dominant motifs include string of pearls. The motifs are arranged in a geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 11 Batik Krajan (Ukel-ukel).jpg
Data 12 Batik Krajan (Parang Garudeya Truntum),Malang,Parang Garudeya Truntum,FLORA (Bunga Truntum/トゥルントゥム文様) // CULTURE (Garudeya/ガルデヤ),"Hijau army/Army Green/グリーンアーミー, Merah/Red/赤い",Cap,Katun prima,Sintetis,Non Geometris,Pembuatan motif ini secara khusus dirancang untuk event dekranasda fest pada bulan desember 2024,"Parang Garudeya Truntum merupakan mahakarya kelas Batik Malang dengan tata letak non geometris. Warna yang digunakan adalah hijau army dan merah, membentuk motif utama bunga truntum dan garudeya. Dibuat dengan teknik cap menggunakan pewarna sintetis pada kain Katun prima. Secara filosofis, Pembuatan motif ini secara khusus dirancang untuk event dekranasda fest pada bulan desember 2024","The batik fabric features the Malang motif, characterized by army green, red motifs. The dominant motifs include トゥルントゥム文様 and ガルデヤ. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 12 Batik Krajan (Parang Garudeya Truntum).jpg
Data 13 Batik Krajan (Garudeya Daun),Malang,Garudeya Daun,FLORA (Daun perisai/盾形の葉文様) // CULTURE (Garudeya/ガルデヤ),"Coklat/Brown/ 茶色, Coklat Muda/Bright Brown",Cap,Katun Prima,Sintetis,Non Geometris,Pembuatan motif ini secara khusus dirancang untuk event dekranasda fest pada bulan desember 2024,"Garudeya Daun merupakan mahakarya kelas Batik Malang dengan tata letak non geometris. Warna yang digunakan adalah coklat dan coklat muda, membentuk motif utama daun perisai dan garudeya. Dibuat dengan teknik cap menggunakan pewarna sintetis pada kain Katun Prima. Secara filosofis, Pembuatan motif ini secara khusus dirancang untuk event dekranasda fest pada bulan desember 2024","The batik fabric features the Malang motif, characterized by brown, bright brown motifs. The dominant motifs include 盾形の葉文様 and ガルデヤ. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 13 Batik Krajan (Garudeya Daun).jpg
Data 14 Batik Krajan (Parang Kopi),Malang,Parang Kopi,"FLORA (Biji kopi/Coffee Beans/コーヒー豆) // CULTURE (Motif Parang/Parang Pattern, Motif Klasik/Classic Pattern/古典文様)","Oranye/Orange/オレンジ, Coklat/Brown/茶色",Cap,Katun Prima,Sintetis,Non Geometris,"Motif batik ini mengadaptasi tren batik gelombang, mencerminkan budaya ngopi modern dengan nuansa santai dan kreatif. Pola dinamis menyerupai aliran kopi, menggabungkan biji kopi serta ornamen khas.","Parang Kopi merupakan mahakarya kelas Batik Malang dengan tata letak non geometris. Warna yang digunakan adalah oranye dan coklat, membentuk motif utama biji kopi dan motif parang. Dibuat dengan teknik cap menggunakan pewarna sintetis pada kain Katun Prima. Secara filosofis, Motif batik ini mengadaptasi tren batik gelombang, mencerminkan budaya ngopi modern dengan nuansa santai dan kreatif. Pola dinamis menyerupai aliran kopi, menggabungkan biji kopi serta ornamen khas.","The batik fabric features the Malang motif, characterized by orange, brown motifs. The dominant motifs include coffee beans and parang pattern, motif klasik. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 14 Batik Krajan (Parang Kopi).jpg
Data 15 Batik Krajan (Kawung Kates),Malang,Kawung Kates,FAUNA (Burung merak/孔雀),"Oranye/Orange/オレンジ, Coklat/Brown/茶色",Cap dan tulis,Katun Prima,Sintetis,Non Geometris,"Pembatik adalah ketua kelompok wanita tani desa Krajan, sehingga banyak motif batiknya terinspirasi dari hasil pertanian seperti pepaya dan kopi. Motif ini dikombinasikan buatan motif untuk event dekranasda fest pada bulan desember 2024","Kawung Kates merupakan mahakarya kelas Batik Malang dengan tata letak non geometris. Warna yang digunakan adalah oranye dan coklat, membentuk motif utama burung merak. Dibuat dengan teknik cap dan tulis menggunakan pewarna sintetis pada kain Katun Prima. Secara filosofis, Pembatik adalah ketua kelompok wanita tani desa Krajan, sehingga banyak motif batiknya terinspirasi dari hasil pertanian seperti pepaya dan kopi. Motif ini dikombinasikan buatan motif untuk event dekranasda fest pada bulan desember 2024","The batik fabric features the Malang motif, characterized by orange, brown motifs. The dominant motifs include 孔雀. The motifs are arranged in a non-geometric pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 15 Batik Krajan (Kawung Kates).jpg
Data 1 Batik Blimbing (Heritage of Malang),Malang,Heritage Of Malang,"FLORA (Teratai/Lotus, Bunga Melati/Jasmine flower) // ARCHITECTURE (Tugu Malang/Malang Monument)","Coklat/brown, Fuschia",Tulis dan Cap,Prima B,Sintetis,Simetris,"Mengangkat tema Cityscape; bangunan-bangunan terkenal yang ada di Kota Malang seperti Stasiun Malang, Plaza Sarinah, Candi Badut, Gereja Corjesu, Gereja Ijen, Balai Kota, Masjid Jami, Toko Oen (toko es krim sejak zaman kolonial Belanda), Kampung Warna-warni, Tugu Malang","Heritage Of Malang merupakan mahakarya kelas Batik Malang dengan tata letak simetris. Warna yang digunakan adalah coklat dan fuschia, membentuk motif utama teratai dan tugu malang. Dibuat dengan teknik tulis dan cap menggunakan pewarna sintetis pada kain Prima B. Secara filosofis, Mengangkat tema Cityscape; bangunan-bangunan terkenal yang ada di Kota Malang seperti Stasiun Malang, Plaza Sarinah, Candi Badut, Gereja Corjesu, Gereja Ijen, Balai Kota, Masjid Jami, Toko Oen (toko es krim sejak zaman kolonial Belanda), Kampung Warna-warni, Tugu Malang","The batik fabric features the Malang motif, characterized by brown, fuschia motifs. The dominant motifs include lotus, bunga melati and malang monument. The motifs are arranged in a simetris pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 1 Batik Blimbing (Heritage of Malang).jpg
Data 2 Batik Blimbing (Heritage of Malang),Malang,Heritage Of Malang,"FLORA (Teratai/Lotus, Bunga Melati/Jasmine flower) // ARCHITECTURE (Tugu Malang/Malang Monument)","Coklat/brown, Kuning/yellow",Tulis dan Cap,Prima SHT,Sintetis,Simetris,"Mengangkat tema Cityscape; bangunan-bangunan terkenal yang ada di Kota Malang seperti Stasiun Malang, Plaza Sarinah, Candi Badut, Gereja Corjesu, Gereja Ijen, Balai Kota, Masjid Jami, Toko Oen (toko es krim sejak zaman kolonial Belanda), Kampung Warna-warni, Tugu Malang","Heritage Of Malang merupakan mahakarya kelas Batik Malang dengan tata letak simetris. Warna yang digunakan adalah coklat dan kuning, membentuk motif utama teratai dan tugu malang. Dibuat dengan teknik tulis dan cap menggunakan pewarna sintetis pada kain Prima SHT. Secara filosofis, Mengangkat tema Cityscape; bangunan-bangunan terkenal yang ada di Kota Malang seperti Stasiun Malang, Plaza Sarinah, Candi Badut, Gereja Corjesu, Gereja Ijen, Balai Kota, Masjid Jami, Toko Oen (toko es krim sejak zaman kolonial Belanda), Kampung Warna-warni, Tugu Malang","The batik fabric features the Malang motif, characterized by brown, yellow motifs. The dominant motifs include lotus, bunga melati and malang monument. The motifs are arranged in a simetris pattern across the fabric, creating a harmonious and balanced composition.",/mnt/extended-home/dzakaaufa/dataset/all_images_captioning/Data 2 Batik Blimbing (Heritage of Malang).jpg
